term,polarity,language
気持ち悪い,negative,ja
飢える,negative,ja
偽る,negative,ja
疑う,negative,ja
詰まる,negative,ja
逆らえない,negative,ja
虚しい,negative,ja
許すことができない,negative,ja
許せない,negative,ja
恐る,negative,ja
恐れる,negative,ja
狂う,negative,ja
狂する,negative,ja
胸が騒ぐ,negative,ja
胸くそ悪い,negative,ja
胸苦しい,negative,ja
胸糞が悪い,negative,ja
胸糞悪い,negative,ja
興醒める,negative,ja
驚愕,negative,ja
業を煮やす,negative,ja
苦しい,negative,ja
苦しむ,negative,ja
苦しめられる,negative,ja
苦汁をなめる,negative,ja
苦慮,negative,ja
欠く,negative,ja
欠ける,negative,ja
血の気が引く,negative,ja
嫌う,negative,ja
嫌がる,negative,ja
肩を落とす,negative,ja
狭い,negative,ja
肩身が狭い,negative,ja
見そこなう,negative,ja
見失う,negative,ja
見損なう,negative,ja
見落とす,negative,ja
遣り切れない,negative,ja
戸惑う,negative,ja
枯れる,negative,ja
後ろ暗い,negative,ja
後ろめたい,negative,ja
後口が悪い,negative,ja
後味が悪い,negative,ja
誤る,negative,ja
慌てる,negative,ja
荒れる,negative,ja
行詰まる,negative,ja
行き過ぎる,negative,ja
行き詰まる,negative,ja
行き詰る,negative,ja
行詰る,negative,ja
降参,negative,ja
降伏,negative,ja
降服,negative,ja
腰が砕ける,negative,ja
骨の折れる,negative,ja
困る,negative,ja
恨む,negative,ja
根に持つ,negative,ja
混む,negative,ja
砕ける,negative,ja
錆びる,negative,ja
散らかる,negative,ja
散る,negative,ja
刺さる,negative,ja
死される,negative,ja
死ぬ,negative,ja
持て余す,negative,ja
耳が痛い,negative,ja
自信がない,negative,ja
自制がきかない,negative,ja
自由がきかない,negative,ja
辞める,negative,ja
失う,negative,ja
失った,negative,ja
疾しい,negative,ja
寂しい,negative,ja
弱る,negative,ja
取り逃がす,negative,ja
手も足も出ない,negative,ja
手を引く,negative,ja
手間取る,negative,ja
腫れる,negative,ja
首がまわらない,negative,ja
首をひねる,negative,ja
臭う,negative,ja
縮む,negative,ja
出来そこなう,negative,ja
出来損なう,negative,ja
傷つける,negative,ja
傷む,negative,ja
傷付ける,negative,ja
嘗める,negative,ja
小首を傾ける,negative,ja
小腹を立てる,negative,ja
焦る,negative,ja
障る,negative,ja
乗り遅れる,negative,ja
情ない,negative,ja
色を失う,negative,ja
侵す,negative,ja
心外,negative,ja
心細い,negative,ja
申し訳ない,negative,ja
辛い,negative,ja
辛め,negative,ja
震える,negative,ja
衰える,negative,ja
生きた心地もない,negative,ja
逝く,negative,ja
切ない,negative,ja
折られる,negative,ja
舌を巻く,negative,ja
争う,negative,ja
遭う,negative,ja
憎い,negative,ja
憎たらしい,negative,ja
損う,negative,ja
損なう,negative,ja
損ねる,negative,ja
太る,negative,ja
堕ちる,negative,ja
妥協,negative,ja
耐えられない,negative,ja
耐えがたい,negative,ja
怠る,negative,ja
退かされる,negative,ja
嘆く,negative,ja
歎く,negative,ja
断たれる,negative,ja
恥ずかしい,negative,ja
遅れを取る,negative,ja
遅れる,negative,ja
虫がおさまらない,negative,ja
懲りる,negative,ja
懲り懲り,negative,ja
頂けない,negative,ja
墜ちる,negative,ja
痛い,negative,ja
痛む,negative,ja
痛める,negative,ja
潰れる,negative,ja
諦める,negative,ja
溺れる,negative,ja
転ぶ,negative,ja
吐き出す,negative,ja
妬む,negative,ja
途方に暮れる,negative,ja
怒る,negative,ja
倒れる,negative,ja
凍える,negative,ja
悼む,negative,ja
盗まれる,negative,ja
盗む,negative,ja
当たられる,negative,ja
当てられる,negative,ja
頭があがらない,negative,ja
頭が上がらない,negative,ja
頭にくる,negative,ja
頭に来る,negative,ja
頭をかかえる,negative,ja
頭を抱える,negative,ja
曇る,negative,ja
悩む,negative,ja
馬鹿を見る,negative,ja
廃れる,negative,ja
敗ける,negative,ja
敗れる,negative,ja
背く,negative,ja
曝す,negative,ja
抜かれる,negative,ja
叛く,negative,ja
犯す,negative,ja
悲しむ,negative,ja
疲れがある,negative,ja
疲れる,negative,ja
被る,negative,ja
謬る,negative,ja
貧する,negative,ja
不満がある,negative,ja
不満はある,negative,ja
怖れる,negative,ja
怖じ気づく,negative,ja
怖気付く,negative,ja
腐る,negative,ja
負う,negative,ja
負ける,negative,ja
侮る,negative,ja
腹の虫がおさまらない,negative,ja
腹の虫の居所が悪い,negative,ja
腹立たしい,negative,ja
腹立つ,negative,ja
文句がある,negative,ja
文句はある,negative,ja
聞こえるにくい,negative,ja
閉まる,negative,ja
別れる,negative,ja
偏る,negative,ja
呆れる,negative,ja
崩される,negative,ja
崩す,negative,ja
崩れる,negative,ja
飽きる,negative,ja
亡くす,negative,ja
亡くする,negative,ja
亡びる,negative,ja
妨げる,negative,ja
忘れる,negative,ja
冒す,negative,ja
膨れる,negative,ja
謀る,negative,ja
無くす,negative,ja
迷う,negative,ja
滅びる,negative,ja
面目ない,negative,ja
面目無い,negative,ja
面目次第もない,negative,ja
蒙る,negative,ja
目の前が真っ暗になる,negative,ja
薬がきかない,negative,ja
落ち込む,negative,ja
落とされる,negative,ja
落としてしまう,negative,ja
乱れる,negative,ja
理性がきかない,negative,ja
裂ける,negative,ja
路頭に迷う,negative,ja
漏らす,negative,ja
漏れる,negative,ja
老いる,negative,ja
歪む,negative,ja
詫びる,negative,ja
咎める,negative,ja
咬まれる,negative,ja
毀す,negative,ja
毀れる,negative,ja
憑く,negative,ja
罹る,negative,ja
挾まる,negative,ja
涸れる,negative,ja
疵付ける,negative,ja
縺れる,negative,ja
茫然,negative,ja
茫漠,negative,ja
躊躇う,negative,ja
躓く,negative,ja
轢く,negative,ja
騙す,negative,ja
あいた口がふさがるない,negative,ja
あきれるてものが言えるない,negative,ja
あくが強い,negative,ja
あくどい,negative,ja
あざとい,negative,ja
あとの祭り,negative,ja
あばずれ,negative,ja
あほらしい,negative,ja
あやしい,negative,ja
あやふや,negative,ja
あらい,negative,ja
あらっぽい,negative,ja
ありきたり,negative,ja
ありきたり,negative,ja
ありふれる,negative,ja
ありふれるた,negative,ja
あるがち,negative,ja
あわせにくい,negative,ja
あんぽんたん,negative,ja
いたしかたない,negative,ja
いかがわしい,negative,ja
いかつい,negative,ja
いぎたない,negative,ja
いけ好かない,negative,ja
いけ図々しい,negative,ja
いこじ,negative,ja
いじいじ,negative,ja
いじける,negative,ja
いじましい,negative,ja
いぶかしい,negative,ja
いまいち,negative,ja
いまいましい,negative,ja
いまひとつ,negative,ja
いまわしい,negative,ja
いま一つ,negative,ja
いやがる,negative,ja
いやしい,negative,ja
いやらしい,negative,ja
いろあせる,negative,ja
いわくつき,negative,ja
いんちき,negative,ja
うじうじ,negative,ja
うす汚い,negative,ja
うとい,negative,ja
うどの大木,negative,ja
うらめしい,negative,ja
うら寂しい,negative,ja
うら悲しい,negative,ja
えげつない,negative,ja
おこがましい,negative,ja
おしい,negative,ja
おせっかい,negative,ja
おそい,negative,ja
おそまつ,negative,ja
おぞましい,negative,ja
おためごかし,negative,ja
おたんこなす,negative,ja
おっかない,negative,ja
おっくう,negative,ja
おっさんくさい,negative,ja
おっちょこちょい,negative,ja
おばさん臭い,negative,ja
おびやかす,negative,ja
おもはゆい,negative,ja
おんぼろ,negative,ja
お山の大将,negative,ja
お節介,negative,ja
お粗末,negative,ja
かっこ悪い,negative,ja
かったるい,negative,ja
かみ合うない,negative,ja
かわいいげのない,negative,ja
かん高い,negative,ja
がさつ,negative,ja
がっかり,negative,ja
がつがつ,negative,ja
がめつい,negative,ja
ききにくい,negative,ja
きちきち,negative,ja
きつい,negative,ja
きびしい,negative,ja
きゅうきゅう,negative,ja
ぎくしゃく,negative,ja
ぎこちない,negative,ja
ぎごちない,negative,ja
ぎすぎす,negative,ja
ぎちぎち,negative,ja
ぎゅうぎゅう,negative,ja
ぎょうぎょうしい,negative,ja
ぎょっと,negative,ja
くしゃくしゃ,negative,ja
くそまじめ,negative,ja
くだらない,negative,ja
くどい,negative,ja
ぐしゃぐしゃ,negative,ja
ぐしょぐしょ,negative,ja
ぐじゃぐじゃ,negative,ja
ぐずぐず,negative,ja
ぐずる,negative,ja
ぐにゃぐにゃ,negative,ja
ぐらぐら,negative,ja
ぐらつく,negative,ja
けがらわしい,negative,ja
けしからん,negative,ja
けちけち,negative,ja
けちけちするた,negative,ja
けちん坊,negative,ja
けばけば,negative,ja
けばけばしい,negative,ja
けわしい,negative,ja
けんのん,negative,ja
げっそり,negative,ja
こしゃく,negative,ja
こすい,negative,ja
こせこせ,negative,ja
こっぴどい,negative,ja
こっ酷い,negative,ja
こてんこてん,negative,ja
ごしゃごしゃ,negative,ja
ごちゃごちゃ,negative,ja
ごっちゃ,negative,ja
ごてごて,negative,ja
ごみごみ,negative,ja
ご法度,negative,ja
さもしい,negative,ja
しかたない,negative,ja
しかつめらしい,negative,ja
しつこい,negative,ja
しどろ,negative,ja
しどろもどろ,negative,ja
しみったれる,negative,ja
しょうがない,negative,ja
しょぼい,negative,ja
しょぼしょぼ,negative,ja
しらじらしい,negative,ja
しわくちゃ,negative,ja
しわしわ,negative,ja
しんどい,negative,ja
しんねり,negative,ja
じじむさい,negative,ja
じゃじゃ馬,negative,ja
じゃじゃ馬的,negative,ja
じゃま臭い,negative,ja
じれったい,negative,ja
すかたん,negative,ja
すげない,negative,ja
すじ違い,negative,ja
すたれる,negative,ja
ずうずうしい,negative,ja
ずるい,negative,ja
ずれる,negative,ja
ずんべらぼう,negative,ja
せこい,negative,ja
せせこましい,negative,ja
せっかち,negative,ja
せわしい,negative,ja
せわしない,negative,ja
そぐわない,negative,ja
そそっかしい,negative,ja
そっけない,negative,ja
そらぞらしい,negative,ja
ぞっと,negative,ja
ぞんざい,negative,ja
たけだけしい,negative,ja
たじたじ,negative,ja
たどたどしい,negative,ja
たよりない,negative,ja
だらけるた,negative,ja
だぶつく,negative,ja
だらしがない,negative,ja
だらしない,negative,ja
だらし無い,negative,ja
だるい,negative,ja
ちぐはぐ,negative,ja
ちっぽけ,negative,ja
ちび,negative,ja
ちまちま,negative,ja
ちゃちい,negative,ja
ちゃち,negative,ja
ちゃらっぽこ,negative,ja
ちんちくりん,negative,ja
ちんまり,negative,ja
つかむにくい,negative,ja
つたない,negative,ja
つぶれるやすい,negative,ja
つまらない,negative,ja
つまるぬ,negative,ja
つれない,negative,ja
つんつるてん,negative,ja
できる損なう,negative,ja
でくの坊,negative,ja
でしゃばる,negative,ja
とげのある,negative,ja
とげとげしい,negative,ja
とっつくにくい,negative,ja
とぼける,negative,ja
とらえる所のない,negative,ja
とりとめるがない,negative,ja
とろい,negative,ja
とんがる,negative,ja
とんちんかん,negative,ja
とんでもない,negative,ja
とんま,negative,ja
どけち,negative,ja
ど助平,negative,ja
どぎつい,negative,ja
どけちと,negative,ja
どけちの,negative,ja
どじ,negative,ja
どじをふむ,negative,ja
どじを踏む,negative,ja
どす黒い,negative,ja
どっちつくぬ,negative,ja
どっち付くぬ,negative,ja
どんくさい,negative,ja
なおざり,negative,ja
なごりおしい,negative,ja
なじむない,negative,ja
なじむにくい,negative,ja
なまぬるい,negative,ja
なよなよ,negative,ja
なれなれしい,negative,ja
にちゃにちゃ,negative,ja
にぶい,negative,ja
にべもない,negative,ja
にべも無い,negative,ja
ねたましい,negative,ja
ねちねち,negative,ja
のらりくらり,negative,ja
のれんに腕押し,negative,ja
のろい,negative,ja
のろくさい,negative,ja
のろのろ,negative,ja
のろま,negative,ja
はかばかしい,negative,ja
はしたない,negative,ja
はずれ,negative,ja
はで,negative,ja
はで好み,negative,ja
ばか正直,negative,ja
ばか丁寧,negative,ja
ばかくさい,negative,ja
ばっちい,negative,ja
ばらつきがある,negative,ja
ひやひや,negative,ja
ひょろひょろ,negative,ja
ひ弱い,negative,ja
びしょびしょ,negative,ja
ふがいない,negative,ja
ふた目と見るられるない,negative,ja
ふつつか,negative,ja
ふてぶてしい,negative,ja
ふにゃふにゃ,negative,ja
ふらふら,negative,ja
ふんぞり返る,negative,ja
ぶよぶよ,negative,ja
へなちょこ,negative,ja
へいこら,negative,ja
へそ曲がり,negative,ja
へたくそ,negative,ja
へとへと,negative,ja
へなへな,negative,ja
べとつく,negative,ja
べとべと,negative,ja
ぺしゃんこ,negative,ja
ぺてん師,negative,ja
ほど遠い,negative,ja
ぼさっと,negative,ja
ぼやける,negative,ja
ぼやぼや,negative,ja
ぼろい,negative,ja
ぼろぼろ,negative,ja
ぼんくら,negative,ja
ぼんやり,negative,ja
まがい物,negative,ja
まがい物的,negative,ja
まがまがしい,negative,ja
まごまご,negative,ja
まだるっこい,negative,ja
ままならない,negative,ja
みそっかす,negative,ja
みすぼらしい,negative,ja
みっともない,negative,ja
みにくい,negative,ja
みみっちい,negative,ja
むかむか,negative,ja
むごい,negative,ja
むごたらしい,negative,ja
むさい,negative,ja
むさくるしい,negative,ja
むっと,negative,ja
むなぐるしい,negative,ja
むなしい,negative,ja
めそめそ,negative,ja
めちゃくちゃ,negative,ja
めちゃめちゃ,negative,ja
めんどう臭い,negative,ja
めんどうくさい,negative,ja
めんどくさい,negative,ja
もう一つ,negative,ja
もたつきがある,negative,ja
もっさり,negative,ja
もったいない,negative,ja
もってのほか,negative,ja
もどかしい,negative,ja
ものうい,negative,ja
ものすさまじい,negative,ja
ものたりない,negative,ja
もの狂おしい,negative,ja
もの凄まじい,negative,ja
もの悲しい,negative,ja
やかましい,negative,ja
やきもき,negative,ja
やっかい,negative,ja
やにっこい,negative,ja
やばい,negative,ja
やぶさか,negative,ja
やぼ,negative,ja
やぼったい,negative,ja
やましい,negative,ja
ややこしい,negative,ja
やりきれない,negative,ja
やり切れない,negative,ja
やるせない,negative,ja
やわ,negative,ja
やわい,negative,ja
ゆゆしい,negative,ja
ゆるい,negative,ja
よけい,negative,ja
よそよそしい,negative,ja
よれよれ,negative,ja
よれる,negative,ja
よわい,negative,ja
よんどころない,negative,ja
らちもない,negative,ja
ろくでなし,negative,ja
わいせつ,negative,ja
わかるにくい,negative,ja
わざとらしい,negative,ja
わずらわしい,negative,ja
わびしい,negative,ja
わや,negative,ja
わやく,negative,ja
アウトロー,negative,ja
アホ,negative,ja
アンナチュラル,negative,ja
イカレる,negative,ja
イマイチ,negative,ja
イレギュラ,negative,ja
イレギュラー,negative,ja
インチキ,negative,ja
インパクトがない,negative,ja
ウドの大木,negative,ja
エキセントリック,negative,ja
エゴイスト,negative,ja
エッチ,negative,ja
オーソドックスすぎる,negative,ja
オマケ程度,negative,ja
オモチャっぽい,negative,ja
オヤジ臭い,negative,ja
オリジナリティがない,negative,ja
カッコ悪い,negative,ja
ガキっぽい,negative,ja
ガタ落ち,negative,ja
ガチガチ,negative,ja
キズがある,negative,ja
キツイ,negative,ja
キリがない,negative,ja
ギクシャク,negative,ja
ギュウギュウ,negative,ja
クセがある,negative,ja
クセはある,negative,ja
グルーミー,negative,ja
グロ,negative,ja
グロッキー,negative,ja
グロテスク,negative,ja
コワい,negative,ja
ショッキング,negative,ja
ショックがある,negative,ja
ショボ過ぎ,negative,ja
シリアス,negative,ja
ジャジャ馬,negative,ja
ズレる,negative,ja
センスがない,negative,ja
ダーティ,negative,ja
ダーティー,negative,ja
ダサい,negative,ja
チグハグ,negative,ja
チャチ,negative,ja
チャラチャラ,negative,ja
ディプレッション,negative,ja
デカ過ぎ,negative,ja
デプレッション,negative,ja
ノイジー,negative,ja
ノンセンス,negative,ja
バタくさい,negative,ja
バタ臭い,negative,ja
バラツキがある,negative,ja
パワー不足,negative,ja
ヒステリック,negative,ja
ヒヤヒヤ,negative,ja
ビビるやすい,negative,ja
ヘンテコ,negative,ja
ミーハー,negative,ja
ミスマッチ,negative,ja
メチャメチャ,negative,ja
メランコリック,negative,ja
メリハリがない,negative,ja
ヤワ,negative,ja
ヨレヨレ,negative,ja
ワーストワン,negative,ja
ワンマン,negative,ja
唖然,negative,ja
阿呆くさい,negative,ja
阿呆,negative,ja
阿呆らしい,negative,ja
阿呆臭い,negative,ja
哀しい,negative,ja
哀しむ,negative,ja
哀れ,negative,ja
愛想がない,negative,ja
愛想の無い,negative,ja
悪趣味,negative,ja
悪い,negative,ja
悪賢い,negative,ja
悪達者,negative,ja
悪辣,negative,ja
扱いにくい,negative,ja
扱い難い,negative,ja
安っぽい,negative,ja
安普請的,negative,ja
安物,negative,ja
暗い,negative,ja
暗む,negative,ja
暗愚,negative,ja
暗鬱,negative,ja
暗澹,negative,ja
意に介さない,negative,ja
意気地無し,negative,ja
意固地,negative,ja
意志薄弱,negative,ja
意地が悪い,negative,ja
意地の悪い,negative,ja
意地っぱり,negative,ja
意地っ張り,negative,ja
意地汚い,negative,ja
意地張り,negative,ja
違和感がある,negative,ja
一卷の終り,negative,ja
一巻の終わる,negative,ja
一筋縄ではいかない,negative,ja
一苦労,negative,ja
一文惜しみ,negative,ja
引っ込みがち,negative,ja
引っ込み思案,negative,ja
淫蕩,negative,ja
淫猥,negative,ja
淫靡,negative,ja
陰うつ,negative,ja
陰気臭い,negative,ja
陰険,negative,ja
陰惨,negative,ja
陰湿,negative,ja
陰鬱,negative,ja
烏滸がましい,negative,ja
迂遠,negative,ja
迂愚,negative,ja
迂闊,negative,ja
雲泥の差がある,negative,ja
雲泥の差,negative,ja
影がうすい,negative,ja
影が薄い,negative,ja
厭,negative,ja
厭わしい,negative,ja
怨めしい,negative,ja
縁がない,negative,ja
遠慮会釈もない,negative,ja
汚い,negative,ja
汚らしい,negative,ja
汚らわしい,negative,ja
汚れやすい,negative,ja
汚穢,negative,ja
奥行きがない,negative,ja
押しが強い,negative,ja
押し付けがましい,negative,ja
横柄,negative,ja
横様,negative,ja
臆病者,negative,ja
恩着せがましい,negative,ja
下にもおけない,negative,ja
下らない,negative,ja
下賎,negative,ja
下等,negative,ja
下劣,negative,ja
何にもならない,negative,ja
何のへんてつもない,negative,ja
可哀相,negative,ja
火の消えたよう,negative,ja
禍々しい,negative,ja
禍禍しい,negative,ja
苛酷,negative,ja
苛烈,negative,ja
過ち,negative,ja
過酷,negative,ja
我が物顔,negative,ja
画一的,negative,ja
怪しい,negative,ja
怪しげ,negative,ja
怪異,negative,ja
怪奇,negative,ja
格好悪い,negative,ja
角のある,negative,ja
角張りすぎる,negative,ja
隔靴掻痒,negative,ja
隔心,negative,ja
楽しみがない,negative,ja
割に合わない,negative,ja
恰好わるい,negative,ja
恰好悪い,negative,ja
寒々,negative,ja
寒ざむ,negative,ja
寒寒,negative,ja
勘弁,negative,ja
感情的,negative,ja
甘く見る,negative,ja
甘ったれる,negative,ja
緩い,negative,ja
間が悪い,negative,ja
間の延びた,negative,ja
間延び,negative,ja
間延びした,negative,ja
間尺に合わない,negative,ja
閑散,negative,ja
頑愚,negative,ja
頑冥,negative,ja
頑迷,negative,ja
顔負け,negative,ja
危うい,negative,ja
危ない,negative,ja
危なっかしい,negative,ja
奇々怪々,negative,ja
奇っ怪,negative,ja
奇奇怪怪,negative,ja
奇態,negative,ja
希薄,negative,ja
忌まわしい,negative,ja
忌わしい,negative,ja
機械的,negative,ja
機嫌が悪い,negative,ja
気が遠くなる,negative,ja
気が遠のく,negative,ja
気が強い,negative,ja
気が塞ぐ,negative,ja
気が弱い,negative,ja
気が重い,negative,ja
気が小さい,negative,ja
気が短い,negative,ja
気が沈む,negative,ja
気にくわない,negative,ja
気むつかしい,negative,ja
気ぜわしい,negative,ja
気むずかしい,negative,ja
気弱,negative,ja
気取った,negative,ja
気色が悪い,negative,ja
気早,negative,ja
気短,negative,ja
気難しい,negative,ja
気付きにくい,negative,ja
気分が悪い,negative,ja
気忙しい,negative,ja
気味が悪い,negative,ja
稀薄,negative,ja
儀式張った,negative,ja
戯け,negative,ja
疑い深い,negative,ja
疑わしい,negative,ja
疑問,negative,ja
詰屈,negative,ja
逆賊,negative,ja
泣き所,negative,ja
泣き虫,negative,ja
居丈高,negative,ja
虚仮,negative,ja
許しがたい,negative,ja
凶漢,negative,ja
凶暴,negative,ja
凶猛,negative,ja
強情張,negative,ja
強情っぱり,negative,ja
強欲,negative,ja
怯懦,negative,ja
恐るべき,negative,ja
恐れがある,negative,ja
恐れ多い,negative,ja
狂わしい,negative,ja
狂人,negative,ja
狂暴,negative,ja
狂乱,negative,ja
狭苦しい,negative,ja
狭量,negative,ja
狭隘,negative,ja
脅かす,negative,ja
興味がない,negative,ja
驚きがない,negative,ja
仰々しい,negative,ja
仰仰しい,negative,ja
業突く張り,negative,ja
極貧,negative,ja
僅少,negative,ja
近目,negative,ja
銀流し,negative,ja
苦になる,negative,ja
苦々しい,negative,ja
苦し紛れ,negative,ja
苦肉の策,negative,ja
愚にもつかぬ,negative,ja
愚の骨頂,negative,ja
愚か,negative,ja
愚かしい,negative,ja
愚人,negative,ja
愚図,negative,ja
愚直,negative,ja
愚鈍,negative,ja
愚物,negative,ja
愚昧,negative,ja
愚劣,negative,ja
空々しい,negative,ja
空しい,negative,ja
空回り,negative,ja
空恐ろしい,negative,ja
空空しい,negative,ja
空疎,negative,ja
空中楼閣,negative,ja
屈伏,negative,ja
屈服,negative,ja
型にはまる,negative,ja
形無し,negative,ja
軽々しい,negative,ja
軽はずみ,negative,ja
軽視,negative,ja
軽蔑,negative,ja
軽躁,negative,ja
激越,negative,ja
隙だらけ,negative,ja
欠陥がある,negative,ja
欠陥品,negative,ja
血も涙もない,negative,ja
血の気が多い,negative,ja
喧しい,negative,ja
喧嘩腰,negative,ja
堅苦しい,negative,ja
堅物,negative,ja
嫌らしい,negative,ja
嫌み,negative,ja
嫌味たらしい,negative,ja
嫌味ったらしい,negative,ja
見えっ張り,negative,ja
見ぐるしい,negative,ja
見づらい,negative,ja
見にくい,negative,ja
見るかげもない,negative,ja
見る影もない,negative,ja
見下す,negative,ja
見苦しい,negative,ja
見向きもしない,negative,ja
険しい,negative,ja
険悪,negative,ja
険難,negative,ja
元も子もない,negative,ja
厳つい,negative,ja
厳酷,negative,ja
幻怪,negative,ja
言語道断,negative,ja
個性がない,negative,ja
個性はない,negative,ja
古めかしい,negative,ja
古臭い,negative,ja
固陋,negative,ja
姑息,negative,ja
胡散臭い,negative,ja
誇大,negative,ja
後のまつり,negative,ja
後の祭り,negative,ja
後悔先に立たぬ,negative,ja
御粗末,negative,ja
御機嫌斜め,negative,ja
御大層,negative,ja
効きすぎる,negative,ja
効きにくい,negative,ja
効き難い,negative,ja
厚かましい,negative,ja
厚ぼったい,negative,ja
厚顔,negative,ja
口がさびしい,negative,ja
口が軽い,negative,ja
口ほどにもない,negative,ja
口惜しい,negative,ja
口先だけ,negative,ja
向う見ず,negative,ja
好い加減,negative,ja
好きもの,negative,ja
好き嫌いがある,negative,ja
好き嫌いはある,negative,ja
巧言令色,negative,ja
慌しい,negative,ja
慌ただしい,negative,ja
甲斐性無い,negative,ja
糠に釘,negative,ja
荒々しい,negative,ja
荒くれた,negative,ja
荒っぽい,negative,ja
荒らか,negative,ja
荒荒しい,negative,ja
荒削り,negative,ja
荒誕,negative,ja
荒唐,negative,ja
高慢,negative,ja
高慢ちき,negative,ja
剛愎,negative,ja
合わせにくい,negative,ja
酷たらしい,negative,ja
酷,negative,ja
酷い,negative,ja
酷しい,negative,ja
酷薄,negative,ja
酷烈,negative,ja
腰が弱い,negative,ja
腰が重い,negative,ja
腰砕け,negative,ja
腰弱,negative,ja
腰抜け,negative,ja
今ひとつ,negative,ja
今一つ,negative,ja
恨み骨髄に徹する,negative,ja
恨めしい,negative,ja
根性悪,negative,ja
根性悪,negative,ja
根性曲り,negative,ja
根無し,negative,ja
差がある,negative,ja
差が激しい,negative,ja
差はある,negative,ja
差し支える,negative,ja
差し出がましい,negative,ja
差支える,negative,ja
差別的,negative,ja
細細,negative,ja
在り来り,negative,ja
罪ぶかい,negative,ja
罪作り,negative,ja
罪深い,negative,ja
策士,negative,ja
擦れっ枯らし,negative,ja
殺人的,negative,ja
殺伐,negative,ja
殺伐と,negative,ja
雑,negative,ja
雑然,negative,ja
惨い,negative,ja
惨たらしい,negative,ja
惨烈,negative,ja
惨憺,negative,ja
散々,negative,ja
散散,negative,ja
酸鼻,negative,ja
残り惜しい,negative,ja
残り多い,negative,ja
残刻,negative,ja
残忍,negative,ja
仕方がない,negative,ja
仕方ない,negative,ja
